Defender,Team,Defender_Rating,Attacker_Rating,Backline_Avg
Kevin Danso,Tottenham Hotspur,6.2,6.9,6.275
Cristian Romero,Tottenham Hotspur,6.5,6.9,6.275
Micky van de Ven,Tottenham Hotspur,5.6,6.9,6.275
Pedro Porro,Tottenham Hotspur,6.8,6.9,6.275
Josip Stanišić,FC Bayern München,6.4,6.7,6.316666666666666
Dayot Upamecano,FC Bayern München,5.9,6.7,6.316666666666666
Jonathan Tah,FC Bayern München,6.2,6.7,6.316666666666666
Konrad Laimer,FC Bayern München,6.0,6.7,6.316666666666666
Raphael Guerreiro,FC Bayern München,6.7,6.7,6.316666666666666
Min-jae Kim,FC Bayern München,6.7,6.7,6.316666666666666
Malo Gusto,Chelsea,6.7,7.4,6.975
Wesley Fofana,Chelsea,6.9,7.4,6.975
Trevoh Chalobah,Chelsea,7.8,7.4,6.975
Marc Cucurella,Chelsea,6.5,7.4,6.975
Michael Kayode,Brentford,6.6,8.2,6.516666666666667
Kristoffer Ajer,Brentford,5.9,8.2,6.516666666666667
Ethan Pinnock,Brentford,7.2,8.2,6.516666666666667
Sepp van den Berg,Brentford,6.3,8.2,6.516666666666667
Rico Henry,Brentford,6.8,8.2,6.516666666666667
Nathan Collins,Brentford,6.3,8.2,6.516666666666667
Matty Cash,Aston Villa,7.8,6.5,6.88
Ezri Konsa,Aston Villa,6.6,6.5,6.88
Pau Torres,Aston Villa,6.9,6.5,6.88
Ian Maatsen,Aston Villa,6.4,6.5,6.88
Victor Lindelof,Aston Villa,6.7,6.5,6.88
Hugo Siquet,Club Brugge KV,6.4,6.4,6.466666666666666
Joel Ordóñez,Club Brugge KV,6.5,6.4,6.466666666666666
Brandon Mechele,Club Brugge KV,6.2,6.4,6.466666666666666
Joaquin Seys,Club Brugge KV,6.2,6.4,6.466666666666666
Bjorn Meijer,Club Brugge KV,6.8,6.4,6.466666666666666
Kyriani Sabbe,Club Brugge KV,6.7,6.4,6.466666666666666
Yerson Mosquera,Wolverhampton,5.8,8.5,6.25
Emmanuel Agbadou,Wolverhampton,6.9,8.5,6.25
Toti Gomes,Wolverhampton,6.4,8.5,6.25
Jackson Tchatchoua,Wolverhampton,5.9,8.5,6.25
Jake O'Brien,Everton,6.7,6.6,7.225
James Tarkowski,Everton,7.8,6.6,7.225
Michael Keane,Everton,7.7,6.6,7.225
Vitaliy Mykolenko,Everton,6.7,6.6,7.225
Chris Richards,Crystal Palace,7.0,7.3,6.925
Maxence Lacroix,Crystal Palace,6.3,7.3,6.925
Marc Guéhi,Crystal Palace,7.6,7.3,6.925
Nathaniel Clyne,Crystal Palace,6.8,7.3,6.925
Diego Coppola,Brighton & Hove Albion,5.9,7.7,6.866666666666667
Jan Paul van Hecke,Brighton & Hove Albion,7.7,7.7,6.866666666666667
Lewis Dunk,Brighton & Hove Albion,7.0,7.7,6.866666666666667
